//STAGE1

ea 2.1 0 0 0
ea 2.1 3 0 0 
ea 2.1 6 0 0 
ea 2.1 9 0 0 
ea 2.1 12 0 0 

ea 2.5 0 0 0
ea 2.5 3 0 0
ea 2.5 6 0 0
ea 2.5 9 0 0
ea 2.5 12 0 0

ea 2.6 -6 0 0
ea 2.6 -9 0 0
ea 2.6 -12 0 0

ea 2.8 0 0 0
ea 2.8 3 0 0
ea 2.8 6 0 0

ea 3.3 0 0 0
ea 3.3 3 0 0
ea 3.3 6 0 0
ea 3.3 0 4 0
ea 3.3 3 4 0
ea 3.3 6 4 0
ea 3.3 0 8 0
ea 3.3 3 8 0
ea 3.3 6 8 0

ea 3.6 0 0 0
ea 3.6 3 0 0
ea 3.6 0 4 0
ea 3.6 3 4 0

ea 3.7 -9 0 0
ea 3.7 -12 0 0

ea 4.1 0 0 0
ea 4.1 3 0 0
ea 4.1 -3 0 0
ea 4.1 0 4 0
ea 4.1 3 4 0
ea 4.1 -3 4 0

ea 4.3 -3 0 0
ea 4.3 -6 0 0
ea 4.3 -9 0 0
ea 4.3 -3 4 0
ea 4.3 -6 4 0
ea 4.3 -9 4 0

ea 4.5 0 0 0
ea 4.5 3 0 0
ea 4.5 6 0 0

ea 5.0 0 0 0
ea 5.0 3 0 0
ea 5.0 -3 0 0

ea 5.6 0 0 0
ea 5.6 3 0 0
ea 5.8 0 0 0
ea 5.8 3 0 0

ea 6.4 0 0 3
ea 6.4 0 0 6
ea 6.4 0 0 9

ea 6.5 0 0 0
ea 6.5 3 0 0
ea 6.5 -3 0 0
